'Titulo','Direção','Nota','Link','Ano','Categoria'
'Os Caçadores Da Arca Perdida','Steven Spielberg','4.5','https://www.adorocinema.com/filmes/filme-121/','21 de agosto de 1981','N/A'
'Menina De Ouro','Clint Eastwood','4.5','https://www.adorocinema.com/filmes/filme-56714/','11 de fevereiro de 2005','N/A'
'Tempo De Matar','Joel Schumacher','4.5','https://www.adorocinema.com/filmes/filme-15283/','1996','N/A'
'Homem-Aranha: Sem Volta Para Casa','Jon Watts','3.5','https://www.adorocinema.com/filmes/filme-256880/','16 de dezembro de 2021','N/A'
'Piratas Do Caribe - O Baú Da Morte','Gore Verbinski','4.5','https://www.adorocinema.com/filmes/filme-57138/','21 de junho de 2006','N/A'
'Mary Poppins','Robert Stevenson','4.5','https://www.adorocinema.com/filmes/filme-426/','11 de setembro de 1964','N/A'
'O Hobbit: Uma Jornada Inesperada','Peter Jackson','3.3','https://www.adorocinema.com/filmes/filme-119089/','14 de dezembro de 2012','N/A'
'A Cor Púrpura','Steven Spielberg','4.5','https://www.adorocinema.com/filmes/filme-2099/','28 de março de 1986','N/A'
'Como Treinar O Seu Dragão 3','Dean DeBlois','3.7','https://www.adorocinema.com/filmes/filme-222451/','17 de janeiro de 2019','N/A'
'O Hobbit: A Desolação De Smaug','Peter Jackson','3.8','https://www.adorocinema.com/filmes/filme-186918/','13 de dezembro de 2013','N/A'
'Bohemian Rhapsody','Bryan Singer','3.1','https://www.adorocinema.com/filmes/filme-185719/','1 de novembro de 2018','N/A'
'Meu Malvado Favorito 2','Chris Renaud.                                                                                                                                                                                                                                Pierre Coffin','3.3','https://www.adorocinema.com/filmes/filme-190299/','5 de julho de 2013','N/A'
'Milagre Na Cela 7','Mehmet Ada Öztekin','4.5','https://www.adorocinema.com/filmes/filme-275065/','10 de outubro de 2019','N/A'
'Quanto Mais Quente Melhor','Billy Wilder','5.0','https://www.adorocinema.com/filmes/filme-26186/','4 de maio de 1959','N/A'
'Vingadores: Era De Ultron','Joss Whedon','3.7','https://www.adorocinema.com/filmes/filme-198488/','23 de abril de 2015','N/A'
'O Grande Truque','Christopher Nolan','4.5','https://www.adorocinema.com/filmes/filme-108998/','2 de novembro de 2006','N/A'
'Velozes & Furiosos 7','James Wan','3.4','https://www.adorocinema.com/filmes/filme-198750/','2 de abril de 2015','N/A'
'Náufrago','Robert Zemeckis','4.5','https://www.adorocinema.com/filmes/filme-27770/','26 de janeiro de 2001','N/A'
'Capitão América: Guerra Civil','Anthony Russo.                                                                                                                                                                                                                                Joe Russo','4.1','https://www.adorocinema.com/filmes/filme-215143/','28 de abril de 2016','N/A'
'Pantera Negra','Ryan Coogler','4.3','https://www.adorocinema.com/filmes/filme-130336/','15 de fevereiro de 2018','N/A'
'Clube De Compras Dallas','Jean-Marc Vallée','3.8','https://www.adorocinema.com/filmes/filme-137097/','21 de fevereiro de 2014','N/A'
'Zootopia: Essa Cidade É O Bicho','Byron Howard.                                                                                                                                                                                                                                Rich Moore.                                                                                                                                                                                                                                Jared Bush','4.0','https://www.adorocinema.com/filmes/filme-223207/','17 de março de 2016','N/A'
'Os Infiltrados','Martin Scorsese','4.5','https://www.adorocinema.com/filmes/filme-55983/','10 de novembro de 2006','N/A'
'Harry Potter E A Ordem Da Fênix','David Yates','4.5','https://www.adorocinema.com/filmes/filme-58608/','11 de julho de 2007','N/A'
'O Hobbit: A Batalha Dos Cinco Exércitos','Peter Jackson','3.3','https://www.adorocinema.com/filmes/filme-210516/','11 de dezembro de 2014','N/A'
'De Volta Para O Futuro 3','Robert Zemeckis','4.5','https://www.adorocinema.com/filmes/filme-29289/','3 de agosto de 1990','N/A'
'Um Sonho Possível','John Lee Hancock','4.5','https://www.adorocinema.com/filmes/filme-132048/','19 de março de 2010','N/A'
'O Curioso Caso De Benjamin Button','David Fincher','4.5','https://www.adorocinema.com/filmes/filme-57060/','16 de janeiro de 2009','N/A'
'Guardiões Da Galáxia Vol. 3','James Gunn','3.4','https://www.adorocinema.com/filmes/filme-246641/','4 de maio de 2023','N/A'
'Na Natureza Selvagem','Sean Penn','4.5','https://www.adorocinema.com/filmes/filme-110101/','14 de março de 2008','N/A'
'O Pequeno Príncipe','Mark Osborne','3.8','https://www.adorocinema.com/filmes/filme-178545/','20 de agosto de 2015','N/A'
'Homem-Aranha No Aranhaverso','Bob Persichetti.                                                                                                                                                                                                                                Peter Ramsey.                                                                                                                                                                                                                                Rodney Rothman','4.0','https://www.adorocinema.com/filmes/filme-233998/','10 de janeiro de 2019','N/A'
'Ratatouille','Brad Bird','4.8','https://www.adorocinema.com/filmes/filme-46211/','6 de julho de 2007','N/A'
'Meu Malvado Favorito','Chris Renaud.                                                                                                                                                                                                                                Pierre Coffin','4.5','https://www.adorocinema.com/filmes/filme-140623/','6 de agosto de 2010','N/A'
'Deadpool','Tim Miller','3.9','https://www.adorocinema.com/filmes/filme-146349/','11 de fevereiro de 2016','N/A'
'Uma Linda Mulher','Garry Marshall','4.5','https://www.adorocinema.com/filmes/filme-6200/','27 de julho de 1990','N/A'
'E.T. - O Extraterrestre','Steven Spielberg','4.5','https://www.adorocinema.com/filmes/filme-29718/','25 de dezembro de 1982','N/A'
'Garota Exemplar','David Fincher','4.1','https://www.adorocinema.com/filmes/filme-217882/','2 de outubro de 2014','N/A'
'Homem De Ferro','Jon Favreau','4.5','https://www.adorocinema.com/filmes/filme-53751/','30 de abril de 2008','N/A'
'Como Treinar O Seu Dragão','Chris Sanders.                                                                                                                                                                                                                                Dean DeBlois','4.5','https://www.adorocinema.com/filmes/filme-123534/','26 de março de 2010','N/A'
